resume_text,job_description,match_score,match_label
"Healthcare data analyst with 9 years of experience in EHR systems, clinical data analysis, and HIPAA compliance. Proficient in R and Python for health data modeling. Excellent communication and teamwork skills.","Healthcare Data Analyst at hospital network. Required skills: EHR systems, clinical analytics, HIPAA, R or Python. 3+ years experience.",0.89,high
"Logistics coordinator with 4 years of experience in supply chain management, vendor coordination, and inventory tracking. Proficient in SAP and Excel. Remote work experience included.","Mobile App Developer at startup. Required: React Native, iOS/Android, Firebase, GraphQL, app store deployment. 3+ years.",0.27,low
"Product manager with 8 years of experience in agile product development, roadmap planning, and stakeholder management. Worked with cross-functional teams in B2C and B2B products. Strong problem-solving abilities.","Product Manager at tech company. Required: agile methodology, roadmap planning, cross-functional collaboration, B2B/B2C experience. 5+ years preferred.",0.87,high
"Healthcare data analyst with 10 years of experience in EHR systems, clinical data analysis, and HIPAA compliance. Proficient in R and Python for health data modeling. Strong problem-solving abilities.","Healthcare Data Analyst at hospital network. Required skills: EHR systems, clinical analytics, HIPAA, R or Python. 3+ years experience.",0.9,high
"Web designer with 3 years of experience in WordPress, Figma, and responsive design. Some React knowledge from online courses. Familiar with basic SEO. Proven track record of delivering results.","Full Stack Developer at startup. Required: React (expert), Node.js, MongoDB, Docker, CI/CD pipelines. 4+ years experience.",0.68,medium
"HR manager with 9 years of experience in talent acquisition, employee relations, and HR policy development. Familiarity with HRIS systems like Workday and SAP SuccessFactors. Strong problem-solving abilities.","HR Manager at corporate firm. Required: talent acquisition, HRIS (Workday/SAP), employee relations, HR policy. 5+ years required.",0.84,high
"Graphic designer with 9 years of experience in Adobe Creative Suite, brand design, and UI mockups. Some knowledge of HTML and CSS. Strong problem-solving abilities.","Frontend Developer at product company. Required: React, TypeScript, JavaScript (expert), Node.js, REST APIs. 4+ years.",0.62,medium
Project manager with 5 years of experience in waterfall and agile methodologies. PMP certified. Managed software delivery projects up to $2M budget. Excellent communication and teamwork skills.,"Engineering Manager at tech firm. Required: engineering background, coding experience, technical team leadership, system design. 7+ years.",0.62,medium
"Cybersecurity analyst with 6 years of experience in threat detection, penetration testing, and SIEM tools. Certified in CEH and CompTIA Security+. Experience with firewalls and network security. Led teams of 3-8 members successfully.","Cybersecurity Analyst at enterprise firm. Required skills: penetration testing, SIEM, network security, CEH certification. 3+ years required.",0.89,high
"Marketing coordinator with 5 years of experience in social media, content creation, and email marketing using Mailchimp. Basic knowledge of Google Analytics. Led teams of 3-8 members successfully.","Digital Marketing Manager at e-commerce company. Required: SEO/SEM expertise, Google Ads, paid media campaigns, team leadership, 5+ years.",0.6,medium
"Data entry specialist with 10 years of experience in Excel, data cleaning, and basic reporting. Familiar with Salesforce data entry and CRM maintenance. Strong problem-solving abilities.","Data Analyst at analytics company. Required: SQL, Python, statistical analysis, Tableau, predictive modeling. 3+ years experience.",0.5,medium
"Graphic designer with 2 years of experience in Adobe Creative Suite, brand design, and UI mockups. Some knowledge of HTML and CSS. Strong problem-solving abilities.","Frontend Developer at product company. Required: React, TypeScript, JavaScript (expert), Node.js, REST APIs. 4+ years.",0.6,medium
"Business analyst with 3 years of experience in requirements gathering, process mapping, and SQL queries. Some exposure to Python scripting and data visualization. Led teams of 3-8 members successfully.","Senior Data Scientist at tech company. Required: advanced ML/DL, Python (expert), TensorFlow, published research, PhD preferred.",0.56,medium
"DevOps engineer with 8 years of experience in CI/CD pipelines, Kubernetes, Docker, and cloud infrastructure on AWS and Azure. Expertise in Terraform and Ansible. Excellent communication and teamwork skills.","DevOps Engineer at tech firm. Required: Kubernetes, Docker, AWS/Azure, Terraform, CI/CD. 4+ years experience preferred.",0.88,high
"Accountant with 4 years of experience in bookkeeping, tax filing, and financial statement preparation. Proficient in QuickBooks and Tally. CPA certified.","DevOps Engineer at cloud company. Required: Kubernetes, Docker, CI/CD, AWS/GCP, infrastructure as code. 4+ years required.",0.19,low
"Logistics coordinator with 8 years of experience in supply chain management, vendor coordination, and inventory tracking. Proficient in SAP and Excel.","Mobile App Developer at startup. Required: React Native, iOS/Android, Firebase, GraphQL, app store deployment. 3+ years.",0.31,low
"Logistics coordinator with 7 years of experience in supply chain management, vendor coordination, and inventory tracking. Proficient in SAP and Excel. Proven track record of delivering results.","Mobile App Developer at startup. Required: React Native, iOS/Android, Firebase, GraphQL, app store deployment. 3+ years.",0.32,low
"Senior data analyst with 3 years of experience in SQL, Python, and data visualization. Worked with Tableau, Power BI, and Excel for reporting. Strong background in statistical analysis and business intelligence.","Senior Business Intelligence Analyst at enterprise firm. Required skills: SQL, Python, Tableau, Power BI, statistical analysis. 5+ years experience preferred.",0.87,high
"Cybersecurity analyst with 7 years of experience in threat detection, penetration testing, and SIEM tools. Certified in CEH and CompTIA Security+. Experience with firewalls and network security. Strong problem-solving abilities.","Cybersecurity Analyst at enterprise firm. Required skills: penetration testing, SIEM, network security, CEH certification. 3+ years required.",0.91,high
"Frontend developer with 8 years of experience in React, Vue.js, TypeScript, and CSS frameworks. Strong UI/UX sensibility and experience with performance optimization. Proven track record of delivering results.","Frontend Developer at product company. Required: React or Vue.js, TypeScript, CSS, UI/UX, web performance. 3+ years experience.",0.9,high
"Cloud architect with 4 years of experience designing scalable cloud solutions on AWS. AWS Certified Solutions Architect. Experience with serverless, microservices, and cost optimization. Remote work experience included.","Cloud Architect at enterprise company. Required: AWS architecture, serverless, microservices, cost optimization. AWS certification preferred.",0.92,high
"Financial analyst with 3 years of experience in financial modeling, budgeting, and forecasting. Proficient in Excel, SAP, and Power BI. CFA Level 2 candidate. Excellent communication and teamwork skills.","Financial Analyst at investment firm. Required: financial modeling, Excel, budgeting, SAP. CFA or MBA preferred. 3+ years.",0.85,high
"Web designer with 6 years of experience in WordPress, Figma, and responsive design. Some React knowledge from online courses. Familiar with basic SEO. Strong problem-solving abilities.","Full Stack Developer at startup. Required: React (expert), Node.js, MongoDB, Docker, CI/CD pipelines. 4+ years experience.",0.62,medium
"DevOps engineer with 5 years of experience in CI/CD pipelines, Kubernetes, Docker, and cloud infrastructure on AWS and Azure. Expertise in Terraform and Ansible. Strong problem-solving abilities.","DevOps Engineer at tech firm. Required: Kubernetes, Docker, AWS/Azure, Terraform, CI/CD. 4+ years experience preferred.",0.92,high
"Financial analyst with 6 years of experience in financial modeling, budgeting, and forecasting. Proficient in Excel, SAP, and Power BI. CFA Level 2 candidate.","Financial Analyst at investment firm. Required: financial modeling, Excel, budgeting, SAP. CFA or MBA preferred. 3+ years.",0.89,high
"Business analyst with 5 years of experience in requirements gathering, process mapping, and SQL queries. Some exposure to Python scripting and data visualization. Proven track record of delivering results.","Senior Data Scientist at tech company. Required: advanced ML/DL, Python (expert), TensorFlow, published research, PhD preferred.",0.59,medium
"HR manager with 8 years of experience in talent acquisition, employee relations, and HR policy development. Familiarity with HRIS systems like Workday and SAP SuccessFactors. Proven track record of delivering results.","HR Manager at corporate firm. Required: talent acquisition, HRIS (Workday/SAP), employee relations, HR policy. 5+ years required.",0.85,high
"Marketing coordinator with 7 years of experience in social media, content creation, and email marketing using Mailchimp. Basic knowledge of Google Analytics.","Digital Marketing Manager at e-commerce company. Required: SEO/SEM expertise, Google Ads, paid media campaigns, team leadership, 5+ years.",0.66,medium
"Network engineer with 2 years of experience in LAN/WAN design, Cisco routers, switches, and firewalls. CCNP certified. Experience with SD-WAN and network monitoring tools. Led teams of 3-8 members successfully.","Network Engineer at telecom company. Required: Cisco networking, CCNP certification, LAN/WAN, SD-WAN. 4+ years experience.",0.91,high
"Customer support lead with 9 years of experience managing support teams, ticketing systems, and SLA compliance. Some experience with Zendesk and CRM tools. Remote work experience included.","Sales Manager at SaaS company. Required: B2B sales, quota achievement, pipeline management, enterprise account management. 5+ years.",0.57,medium
"DevOps engineer with 5 years of experience in CI/CD pipelines, Kubernetes, Docker, and cloud infrastructure on AWS and Azure. Expertise in Terraform and Ansible.","DevOps Engineer at tech firm. Required: Kubernetes, Docker, AWS/Azure, Terraform, CI/CD. 4+ years experience preferred.",0.92,high
"Frontend developer with 10 years of experience in React, Vue.js, TypeScript, and CSS frameworks. Strong UI/UX sensibility and experience with performance optimization. Excellent communication and teamwork skills.","Frontend Developer at product company. Required: React or Vue.js, TypeScript, CSS, UI/UX, web performance. 3+ years experience.",0.85,high
"Accountant with 9 years of experience in bookkeeping, tax filing, and financial statement preparation. Proficient in QuickBooks and Tally. CPA certified. Led teams of 3-8 members successfully.","DevOps Engineer at cloud company. Required: Kubernetes, Docker, CI/CD, AWS/GCP, infrastructure as code. 4+ years required.",0.16,low
"HR manager with 5 years of experience in talent acquisition, employee relations, and HR policy development. Familiarity with HRIS systems like Workday and SAP SuccessFactors.","HR Manager at corporate firm. Required: talent acquisition, HRIS (Workday/SAP), employee relations, HR policy. 5+ years required.",0.84,high
"Cybersecurity analyst with 10 years of experience in threat detection, penetration testing, and SIEM tools. Certified in CEH and CompTIA Security+. Experience with firewalls and network security. Remote work experience included.","Cybersecurity Analyst at enterprise firm. Required skills: penetration testing, SIEM, network security, CEH certification. 3+ years required.",0.87,high
"Sales manager with 9 years of experience in B2B SaaS sales, team leadership, and CRM tools like Salesforce. Consistently exceeded quarterly targets by 20-30%. Strong problem-solving abilities.","Sales Manager at SaaS company. Required skills: B2B sales, Salesforce CRM, team management, quota achievement. 5+ years preferred.",0.91,high
"Fitness trainer with 9 years of experience in personal training, nutrition planning, and group fitness instruction. CPT certified. Strong motivational skills. Proven track record of delivering results.","Data Scientist at biotech company. Required: R/Python, statistical modeling, bioinformatics, machine learning, PhD preferred.",0.17,low
"Full stack developer with 3 years of experience in React, Node.js, and MongoDB. Built scalable web applications, REST APIs, and microservices. Familiar with AWS and Docker. Proven track record of delivering results.","Full Stack Engineer at startup. Required skills: React, Node.js, MongoDB, REST APIs, Docker. Looking for 4+ years experience.",0.91,high
"Financial analyst with 9 years of experience in financial modeling, budgeting, and forecasting. Proficient in Excel, SAP, and Power BI. CFA Level 2 candidate. Remote work experience included.","Financial Analyst at investment firm. Required: financial modeling, Excel, budgeting, SAP. CFA or MBA preferred. 3+ years.",0.91,high
"Senior data analyst with 9 years of experience in SQL, Python, and data visualization. Worked with Tableau, Power BI, and Excel for reporting. Strong background in statistical analysis and business intelligence. Led teams of 3-8 members successfully.","Senior Business Intelligence Analyst at enterprise firm. Required skills: SQL, Python, Tableau, Power BI, statistical analysis. 5+ years experience preferred.",0.86,high
Mobile app developer with 2 years of experience in iOS (Swift) and Android (Kotlin) development. Published 10+ apps on App Store and Play Store. Experience with Firebase and REST APIs. Strong problem-solving abilities.,"Mobile Developer at app startup. Required: Swift or Kotlin, iOS/Android, Firebase, REST APIs. 3+ years experience.",0.87,high
"Machine learning engineer with 9 years of experience building and deploying ML models using TensorFlow, PyTorch, and scikit-learn. Strong Python skills and experience with MLOps pipelines. Strong problem-solving abilities.","ML Engineer at AI company. Required: TensorFlow, PyTorch, Python, model deployment, MLOps. 4+ years experience required.",0.9,high
"Sales manager with 3 years of experience in B2B SaaS sales, team leadership, and CRM tools like Salesforce. Consistently exceeded quarterly targets by 20-30%. Excellent communication and teamwork skills.","Sales Manager at SaaS company. Required skills: B2B sales, Salesforce CRM, team management, quota achievement. 5+ years preferred.",0.91,high
"Full stack developer with 7 years of experience in React, Node.js, and MongoDB. Built scalable web applications, REST APIs, and microservices. Familiar with AWS and Docker. Led teams of 3-8 members successfully.","Full Stack Engineer at startup. Required skills: React, Node.js, MongoDB, REST APIs, Docker. Looking for 4+ years experience.",0.89,high
"Elementary school teacher with 5 years of experience in curriculum development, classroom management, and student assessment. Skilled in communication and patience. Led teams of 3-8 members successfully.","Senior Software Engineer at tech company. Required: Python, Java, distributed systems, cloud architecture, system design. 6+ years.",0.23,low
Software developer with 10 years of experience in Java and Spring Boot. Some experience with React for frontend tasks. Familiar with MySQL and basic cloud deployments. Proven track record of delivering results.,"Full Stack Engineer at fintech company. Required: React (expert level), Node.js, TypeScript, GraphQL, AWS. 5+ years required.",0.66,medium
"Graphic designer with 8 years of experience in Adobe Creative Suite, brand design, and UI mockups. Some knowledge of HTML and CSS. Proven track record of delivering results.","Frontend Developer at product company. Required: React, TypeScript, JavaScript (expert), Node.js, REST APIs. 4+ years.",0.52,medium
"Senior data analyst with 9 years of experience in SQL, Python, and data visualization. Worked with Tableau, Power BI, and Excel for reporting. Strong background in statistical analysis and business intelligence. Strong problem-solving abilities.","Senior Business Intelligence Analyst at enterprise firm. Required skills: SQL, Python, Tableau, Power BI, statistical analysis. 5+ years experience preferred.",0.92,high
"Real estate agent with 5 years of experience in property sales, client negotiation, and market analysis. Strong networking and communication skills. Strong problem-solving abilities.","Cloud Infrastructure Engineer at tech company. Required: AWS, Terraform, Kubernetes, Linux, DevOps practices. 4+ years.",0.24,low
"Machine learning engineer with 3 years of experience building and deploying ML models using TensorFlow, PyTorch, and scikit-learn. Strong Python skills and experience with MLOps pipelines. Led teams of 3-8 members successfully.","ML Engineer at AI company. Required: TensorFlow, PyTorch, Python, model deployment, MLOps. 4+ years experience required.",0.89,high
Project manager with 3 years of experience in waterfall and agile methodologies. PMP certified. Managed software delivery projects up to $2M budget. Strong problem-solving abilities.,"Engineering Manager at tech firm. Required: engineering background, coding experience, technical team leadership, system design. 7+ years.",0.62,medium
"Healthcare data analyst with 6 years of experience in EHR systems, clinical data analysis, and HIPAA compliance. Proficient in R and Python for health data modeling. Strong problem-solving abilities.","Healthcare Data Analyst at hospital network. Required skills: EHR systems, clinical analytics, HIPAA, R or Python. 3+ years experience.",0.91,high
"Interior designer with 7 years of experience in space planning, AutoCAD drafting, and client presentations. Strong aesthetic sense and vendor management. Strong problem-solving abilities.","Backend Engineer at fintech. Required: Java/Scala, microservices, Kafka, distributed systems, high-throughput APIs. 5+ years.",0.14,low
"Chef with 2 years of experience in French cuisine, menu planning, and kitchen management. Expert in food safety and team coordination in high-pressure environments. Proven track record of delivering results.","Cybersecurity Analyst at financial firm. Required: ethical hacking, SIEM, firewall management, incident response, security certifications.",0.2,low
"Web designer with 10 years of experience in WordPress, Figma, and responsive design. Some React knowledge from online courses. Familiar with basic SEO. Led teams of 3-8 members successfully.","Full Stack Developer at startup. Required: React (expert), Node.js, MongoDB, Docker, CI/CD pipelines. 4+ years experience.",0.55,medium
"Sales manager with 7 years of experience in B2B SaaS sales, team leadership, and CRM tools like Salesforce. Consistently exceeded quarterly targets by 20-30%. Excellent communication and teamwork skills.","Sales Manager at SaaS company. Required skills: B2B sales, Salesforce CRM, team management, quota achievement. 5+ years preferred.",0.88,high
"Sales manager with 6 years of experience in B2B SaaS sales, team leadership, and CRM tools like Salesforce. Consistently exceeded quarterly targets by 20-30%. Led teams of 3-8 members successfully.","Sales Manager at SaaS company. Required skills: B2B sales, Salesforce CRM, team management, quota achievement. 5+ years preferred.",0.92,high
"Financial analyst with 7 years of experience in financial modeling, budgeting, and forecasting. Proficient in Excel, SAP, and Power BI. CFA Level 2 candidate. Strong problem-solving abilities.","Financial Analyst at investment firm. Required: financial modeling, Excel, budgeting, SAP. CFA or MBA preferred. 3+ years.",0.85,high
"Product manager with 8 years of experience in agile product development, roadmap planning, and stakeholder management. Worked with cross-functional teams in B2C and B2B products. Strong problem-solving abilities.","Product Manager at tech company. Required: agile methodology, roadmap planning, cross-functional collaboration, B2B/B2C experience. 5+ years preferred.",0.87,high
"Healthcare data analyst with 3 years of experience in EHR systems, clinical data analysis, and HIPAA compliance. Proficient in R and Python for health data modeling. Excellent communication and teamwork skills.","Healthcare Data Analyst at hospital network. Required skills: EHR systems, clinical analytics, HIPAA, R or Python. 3+ years experience.",0.86,high
"Web designer with 9 years of experience in WordPress, Figma, and responsive design. Some React knowledge from online courses. Familiar with basic SEO.","Full Stack Developer at startup. Required: React (expert), Node.js, MongoDB, Docker, CI/CD pipelines. 4+ years experience.",0.67,medium
"Fitness trainer with 7 years of experience in personal training, nutrition planning, and group fitness instruction. CPT certified. Strong motivational skills. Strong problem-solving abilities.","Data Scientist at biotech company. Required: R/Python, statistical modeling, bioinformatics, machine learning, PhD preferred.",0.22,low
"Network engineer with 7 years of experience in LAN/WAN design, Cisco routers, switches, and firewalls. CCNP certified. Experience with SD-WAN and network monitoring tools. Remote work experience included.","Network Engineer at telecom company. Required: Cisco networking, CCNP certification, LAN/WAN, SD-WAN. 4+ years experience.",0.91,high
"DevOps engineer with 3 years of experience in CI/CD pipelines, Kubernetes, Docker, and cloud infrastructure on AWS and Azure. Expertise in Terraform and Ansible. Strong problem-solving abilities.","DevOps Engineer at tech firm. Required: Kubernetes, Docker, AWS/Azure, Terraform, CI/CD. 4+ years experience preferred.",0.9,high
"Healthcare data analyst with 6 years of experience in EHR systems, clinical data analysis, and HIPAA compliance. Proficient in R and Python for health data modeling. Proven track record of delivering results.","Healthcare Data Analyst at hospital network. Required skills: EHR systems, clinical analytics, HIPAA, R or Python. 3+ years experience.",0.85,high
Mobile app developer with 6 years of experience in iOS (Swift) and Android (Kotlin) development. Published 10+ apps on App Store and Play Store. Experience with Firebase and REST APIs. Led teams of 3-8 members successfully.,"Mobile Developer at app startup. Required: Swift or Kotlin, iOS/Android, Firebase, REST APIs. 3+ years experience.",0.94,high
Mobile app developer with 6 years of experience in iOS (Swift) and Android (Kotlin) development. Published 10+ apps on App Store and Play Store. Experience with Firebase and REST APIs. Excellent communication and teamwork skills.,"Mobile Developer at app startup. Required: Swift or Kotlin, iOS/Android, Firebase, REST APIs. 3+ years experience.",0.93,high
"Customer support lead with 6 years of experience managing support teams, ticketing systems, and SLA compliance. Some experience with Zendesk and CRM tools.","Sales Manager at SaaS company. Required: B2B sales, quota achievement, pipeline management, enterprise account management. 5+ years.",0.59,medium
"Healthcare data analyst with 6 years of experience in EHR systems, clinical data analysis, and HIPAA compliance. Proficient in R and Python for health data modeling. Led teams of 3-8 members successfully.","Healthcare Data Analyst at hospital network. Required skills: EHR systems, clinical analytics, HIPAA, R or Python. 3+ years experience.",0.86,high
"Logistics coordinator with 7 years of experience in supply chain management, vendor coordination, and inventory tracking. Proficient in SAP and Excel. Excellent communication and teamwork skills.","Mobile App Developer at startup. Required: React Native, iOS/Android, Firebase, GraphQL, app store deployment. 3+ years.",0.26,low
"Cybersecurity analyst with 6 years of experience in threat detection, penetration testing, and SIEM tools. Certified in CEH and CompTIA Security+. Experience with firewalls and network security. Strong problem-solving abilities.","Cybersecurity Analyst at enterprise firm. Required skills: penetration testing, SIEM, network security, CEH certification. 3+ years required.",0.91,high
"Senior data analyst with 5 years of experience in SQL, Python, and data visualization. Worked with Tableau, Power BI, and Excel for reporting. Strong background in statistical analysis and business intelligence. Excellent communication and teamwork skills.","Senior Business Intelligence Analyst at enterprise firm. Required skills: SQL, Python, Tableau, Power BI, statistical analysis. 5+ years experience preferred.",0.91,high
"Chef with 10 years of experience in French cuisine, menu planning, and kitchen management. Expert in food safety and team coordination in high-pressure environments. Strong problem-solving abilities.","Cybersecurity Analyst at financial firm. Required: ethical hacking, SIEM, firewall management, incident response, security certifications.",0.12,low
"Data scientist with 6 years of experience in predictive modeling, NLP, and deep learning. Published research in machine learning. Proficient in Python, R, and Spark. Excellent communication and teamwork skills.","Data Scientist at analytics firm. Required: predictive modeling, NLP, Python/R, deep learning experience. PhD or 4+ years experience.",0.93,high
Project manager with 6 years of experience in waterfall and agile methodologies. PMP certified. Managed software delivery projects up to $2M budget. Remote work experience included.,"Engineering Manager at tech firm. Required: engineering background, coding experience, technical team leadership, system design. 7+ years.",0.58,medium
"Fitness trainer with 8 years of experience in personal training, nutrition planning, and group fitness instruction. CPT certified. Strong motivational skills. Strong problem-solving abilities.","Data Scientist at biotech company. Required: R/Python, statistical modeling, bioinformatics, machine learning, PhD preferred.",0.27,low
"Frontend developer with 6 years of experience in React, Vue.js, TypeScript, and CSS frameworks. Strong UI/UX sensibility and experience with performance optimization. Remote work experience included.","Frontend Developer at product company. Required: React or Vue.js, TypeScript, CSS, UI/UX, web performance. 3+ years experience.",0.86,high
"Frontend developer with 10 years of experience in React, Vue.js, TypeScript, and CSS frameworks. Strong UI/UX sensibility and experience with performance optimization. Proven track record of delivering results.","Frontend Developer at product company. Required: React or Vue.js, TypeScript, CSS, UI/UX, web performance. 3+ years experience.",0.89,high
"Sales manager with 7 years of experience in B2B SaaS sales, team leadership, and CRM tools like Salesforce. Consistently exceeded quarterly targets by 20-30%. Strong problem-solving abilities.","Sales Manager at SaaS company. Required skills: B2B sales, Salesforce CRM, team management, quota achievement. 5+ years preferred.",0.92,high
"Chef with 9 years of experience in French cuisine, menu planning, and kitchen management. Expert in food safety and team coordination in high-pressure environments.","Cybersecurity Analyst at financial firm. Required: ethical hacking, SIEM, firewall management, incident response, security certifications.",0.17,low
"Machine learning engineer with 9 years of experience building and deploying ML models using TensorFlow, PyTorch, and scikit-learn. Strong Python skills and experience with MLOps pipelines.","ML Engineer at AI company. Required: TensorFlow, PyTorch, Python, model deployment, MLOps. 4+ years experience required.",0.91,high
"Financial analyst with 7 years of experience in financial modeling, budgeting, and forecasting. Proficient in Excel, SAP, and Power BI. CFA Level 2 candidate. Excellent communication and teamwork skills.","Financial Analyst at investment firm. Required: financial modeling, Excel, budgeting, SAP. CFA or MBA preferred. 3+ years.",0.86,high
Project manager with 9 years of experience in waterfall and agile methodologies. PMP certified. Managed software delivery projects up to $2M budget. Remote work experience included.,"Engineering Manager at tech firm. Required: engineering background, coding experience, technical team leadership, system design. 7+ years.",0.66,medium
"Network engineer with 9 years of experience in LAN/WAN design, Cisco routers, switches, and firewalls. CCNP certified. Experience with SD-WAN and network monitoring tools. Strong problem-solving abilities.","Network Engineer at telecom company. Required: Cisco networking, CCNP certification, LAN/WAN, SD-WAN. 4+ years experience.",0.9,high
"Interior designer with 8 years of experience in space planning, AutoCAD drafting, and client presentations. Strong aesthetic sense and vendor management. Remote work experience included.","Backend Engineer at fintech. Required: Java/Scala, microservices, Kafka, distributed systems, high-throughput APIs. 5+ years.",0.18,low
"Product manager with 4 years of experience in agile product development, roadmap planning, and stakeholder management. Worked with cross-functional teams in B2C and B2B products. Led teams of 3-8 members successfully.","Product Manager at tech company. Required: agile methodology, roadmap planning, cross-functional collaboration, B2B/B2C experience. 5+ years preferred.",0.92,high
"Network engineer with 5 years of experience in LAN/WAN design, Cisco routers, switches, and firewalls. CCNP certified. Experience with SD-WAN and network monitoring tools. Proven track record of delivering results.","Network Engineer at telecom company. Required: Cisco networking, CCNP certification, LAN/WAN, SD-WAN. 4+ years experience.",0.89,high
"Data entry specialist with 10 years of experience in Excel, data cleaning, and basic reporting. Familiar with Salesforce data entry and CRM maintenance.","Data Analyst at analytics company. Required: SQL, Python, statistical analysis, Tableau, predictive modeling. 3+ years experience.",0.55,medium
"Sales manager with 4 years of experience in B2B SaaS sales, team leadership, and CRM tools like Salesforce. Consistently exceeded quarterly targets by 20-30%. Led teams of 3-8 members successfully.","Sales Manager at SaaS company. Required skills: B2B sales, Salesforce CRM, team management, quota achievement. 5+ years preferred.",0.87,high
"Business analyst with 10 years of experience in requirements gathering, process mapping, and SQL queries. Some exposure to Python scripting and data visualization. Proven track record of delivering results.","Senior Data Scientist at tech company. Required: advanced ML/DL, Python (expert), TensorFlow, published research, PhD preferred.",0.68,medium
Software developer with 9 years of experience in Java and Spring Boot. Some experience with React for frontend tasks. Familiar with MySQL and basic cloud deployments. Excellent communication and teamwork skills.,"Full Stack Engineer at fintech company. Required: React (expert level), Node.js, TypeScript, GraphQL, AWS. 5+ years required.",0.69,medium
"Fitness trainer with 8 years of experience in personal training, nutrition planning, and group fitness instruction. CPT certified. Strong motivational skills. Proven track record of delivering results.","Data Scientist at biotech company. Required: R/Python, statistical modeling, bioinformatics, machine learning, PhD preferred.",0.29,low
"Accountant with 3 years of experience in bookkeeping, tax filing, and financial statement preparation. Proficient in QuickBooks and Tally. CPA certified. Excellent communication and teamwork skills.","DevOps Engineer at cloud company. Required: Kubernetes, Docker, CI/CD, AWS/GCP, infrastructure as code. 4+ years required.",0.29,low
"Real estate agent with 5 years of experience in property sales, client negotiation, and market analysis. Strong networking and communication skills. Led teams of 3-8 members successfully.","Cloud Infrastructure Engineer at tech company. Required: AWS, Terraform, Kubernetes, Linux, DevOps practices. 4+ years.",0.19,low
"Journalist with 7 years of experience in investigative reporting, content writing, and media production. Skilled in AP style writing and deadline management. Proven track record of delivering results.","Machine Learning Engineer at AI startup. Required: TensorFlow, PyTorch, deep learning, model optimization, MLOps. 3+ years.",0.21,low
"Graphic designer with 9 years of experience in Adobe Creative Suite, brand design, and UI mockups. Some knowledge of HTML and CSS. Remote work experience included.","Frontend Developer at product company. Required: React, TypeScript, JavaScript (expert), Node.js, REST APIs. 4+ years.",0.62,medium
"HR manager with 2 years of experience in talent acquisition, employee relations, and HR policy development. Familiarity with HRIS systems like Workday and SAP SuccessFactors. Excellent communication and teamwork skills.","HR Manager at corporate firm. Required: talent acquisition, HRIS (Workday/SAP), employee relations, HR policy. 5+ years required.",0.89,high
"Cybersecurity analyst with 6 years of experience in threat detection, penetration testing, and SIEM tools. Certified in CEH and CompTIA Security+. Experience with firewalls and network security. Strong problem-solving abilities.","Cybersecurity Analyst at enterprise firm. Required skills: penetration testing, SIEM, network security, CEH certification. 3+ years required.",0.88,high
"Sales manager with 5 years of experience in B2B SaaS sales, team leadership, and CRM tools like Salesforce. Consistently exceeded quarterly targets by 20-30%.","Sales Manager at SaaS company. Required skills: B2B sales, Salesforce CRM, team management, quota achievement. 5+ years preferred.",0.89,high
"Fitness trainer with 5 years of experience in personal training, nutrition planning, and group fitness instruction. CPT certified. Strong motivational skills. Remote work experience included.","Data Scientist at biotech company. Required: R/Python, statistical modeling, bioinformatics, machine learning, PhD preferred.",0.14,low
"Senior data analyst with 10 years of experience in SQL, Python, and data visualization. Worked with Tableau, Power BI, and Excel for reporting. Strong background in statistical analysis and business intelligence. Proven track record of delivering results.","Senior Business Intelligence Analyst at enterprise firm. Required skills: SQL, Python, Tableau, Power BI, statistical analysis. 5+ years experience preferred.",0.92,high
"HR manager with 7 years of experience in talent acquisition, employee relations, and HR policy development. Familiarity with HRIS systems like Workday and SAP SuccessFactors. Proven track record of delivering results.","HR Manager at corporate firm. Required: talent acquisition, HRIS (Workday/SAP), employee relations, HR policy. 5+ years required.",0.9,high
"Healthcare data analyst with 4 years of experience in EHR systems, clinical data analysis, and HIPAA compliance. Proficient in R and Python for health data modeling. Led teams of 3-8 members successfully.","Healthcare Data Analyst at hospital network. Required skills: EHR systems, clinical analytics, HIPAA, R or Python. 3+ years experience.",0.91,high
Mobile app developer with 7 years of experience in iOS (Swift) and Android (Kotlin) development. Published 10+ apps on App Store and Play Store. Experience with Firebase and REST APIs. Excellent communication and teamwork skills.,"Mobile Developer at app startup. Required: Swift or Kotlin, iOS/Android, Firebase, REST APIs. 3+ years experience.",0.88,high
"Data entry specialist with 9 years of experience in Excel, data cleaning, and basic reporting. Familiar with Salesforce data entry and CRM maintenance. Remote work experience included.","Data Analyst at analytics company. Required: SQL, Python, statistical analysis, Tableau, predictive modeling. 3+ years experience.",0.51,medium
"Data entry specialist with 7 years of experience in Excel, data cleaning, and basic reporting. Familiar with Salesforce data entry and CRM maintenance.","Data Analyst at analytics company. Required: SQL, Python, statistical analysis, Tableau, predictive modeling. 3+ years experience.",0.59,medium
"Cybersecurity analyst with 3 years of experience in threat detection, penetration testing, and SIEM tools. Certified in CEH and CompTIA Security+. Experience with firewalls and network security. Proven track record of delivering results.","Cybersecurity Analyst at enterprise firm. Required skills: penetration testing, SIEM, network security, CEH certification. 3+ years required.",0.9,high
"Data scientist with 9 years of experience in predictive modeling, NLP, and deep learning. Published research in machine learning. Proficient in Python, R, and Spark. Excellent communication and teamwork skills.","Data Scientist at analytics firm. Required: predictive modeling, NLP, Python/R, deep learning experience. PhD or 4+ years experience.",0.94,high
